TOTEN	-66.74133096
TOTEN	-102.4580581
TOTEN	-106.2919942
TOTEN	-106.3995514
TOTEN	-106.336372
TOTEN	-106.2173
TOTEN	-106.1724529
TOTEN	-106.1708737
TOTEN	-106.1895903
TOTEN	-106.2073418
TOTEN	-106.2203024
TOTEN	-66.78326316
TOTEN	-102.3896501
TOTEN	-106.3489535
TOTEN	-106.3938751
TOTEN	-106.3337715
TOTEN	-106.2122523
TOTEN	-106.1677115
TOTEN	-106.1658379
TOTEN	-106.1847773
TOTEN	-106.2025994
TOTEN	-106.2155633
TOTEN	-66.6741639
TOTEN	-102.3289001
TOTEN	-106.3498902
TOTEN	-106.3954741
TOTEN	-106.3332929
TOTEN	-106.2115979
TOTEN	-106.1669695
TOTEN	-106.1649309
TOTEN	-106.1838611
TOTEN	-106.2017144
TOTEN	-106.2147134
TOTEN	-66.72064991
TOTEN	-102.3501257
TOTEN	-106.357115
TOTEN	-106.3969865
TOTEN	-106.333523
TOTEN	-106.2116948
TOTEN	-106.1670782
TOTEN	-106.1650728
TOTEN	-106.1839823
TOTEN	-106.2018817
TOTEN	-106.2148809
